# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 2 | Tempo: 169,2552 | Attesa: 15,82321 | Distanza: 177,2007
FourmiPattern | soddisfatto | Visitati: 16 | Non visitati: 2 | Tempo: 456,3564 | Attesa: 0 | Distanza: 303,3579
PapillonPattern | insoddisfatto | Visitati: 16 | Non visitati: 3 | Tempo: 379,2588 | Attesa: 33,34141 | Distanza: 225,3698
PapillonPattern | soddisfatto | Visitati: 18 | Non visitati: 2 | Tempo: 406,477 | Attesa: 28,30545 | Distanza: 253,1608
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 1 | Tempo: 185,2873 | Attesa: 16,60322 | Distanza: 141,1107
PoissonPattern | soddisfatto | Visitati: 11 | Non visitati: 2 | Tempo: 215,1261 | Attesa: 19,08759 | Distanza: 149,7813
# Configurazione 3
SauterellePattern | insoddisfatto | Visitati: 5 | Non visitati: 2 | Tempo: 130,3438 | Attesa: 15,09627 | Distanza: 80,05872
SauterellePattern | insoddisfatto | Visitati: 5 | Non visitati: 2 | Tempo: 106,6679 | Attesa: 18,03649 | Distanza: 87,564
PapillonPattern | soddisfatto | Visitati: 17 | Non visitati: 2 | Tempo: 388,664 | Attesa: 28,58622 | Distanza: 220,1278
FourmiPattern | soddisfatto | Visitati: 9 | Non visitati: 1 | Tempo: 252,094 | Attesa: 16,40435 | Distanza: 153,2199
FourmiPattern | soddisfatto | Visitati: 17 | Non visitati: 1 | Tempo: 444,7114 | Attesa: 16,01446 | Distanza: 193,1918
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 2 | Tempo: 196,9504 | Attesa: 26,36415 | Distanza: 188,2295
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 1 | Tempo: 180,5495 | Attesa: 18,5915 | Distanza: 115,6502
PapillonPattern | insoddisfatto | Visitati: 17 | Non visitati: 2 | Tempo: 381,4868 | Attesa: 39,48403 | Distanza: 241,1093
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 1 | Tempo: 172,1939 | Attesa: 10,45737 | Distanza: 120,0066
FourmiPattern | soddisfatto | Visitati: 11 | Non visitati: 2 | Tempo: 317,1158 | Attesa: 2,63653 | Distanza: 203,8635
PapillonPattern | soddisfatto | Visitati: 15 | Non visitati: 2 | Tempo: 340,1512 | Attesa: 26,19213 | Distanza: 186,1787
FourmiPattern | insoddisfatto | Visitati: 16 | Non visitati: 2 | Tempo: 431,5047 | Attesa: 30,19344 | Distanza: 166,4017
PapillonPattern | soddisfatto | Visitati: 18 | Non visitati: 2 | Tempo: 407,7809 | Attesa: 29,14845 | Distanza: 251,827
FourmiPattern | soddisfatto | Visitati: 11 | Non visitati: 1 | Tempo: 299,3495 | Attesa: 9,667799 | Distanza: 173,0039
PoissonPattern | soddisfatto | Visitati: 11 | Non visitati: 1 | Tempo: 223,0302 | Attesa: 7,735898 | Distanza: 186,076
PapillonPattern | insoddisfatto | Visitati: 19 | Non visitati: 2 | Tempo: 434,5675 | Attesa: 30,12348 | Distanza: 240,7684
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 0 | Tempo: 177,0787 | Attesa: 0 | Distanza: 155,7978
FourmiPattern | insoddisfatto | Visitati: 18 | Non visitati: 3 | Tempo: 506,6341 | Attesa: 39,50735 | Distanza: 231,2082
PapillonPattern | soddisfatto | Visitati: 19 | Non visitati: 2 | Tempo: 429,8404 | Attesa: 25,9915 | Distanza: 223,8006
PoissonPattern | soddisfatto | Visitati: 12 | Non visitati: 0 | Tempo: 187,2621 | Attesa: 2,262633 | Distanza: 129,0065
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 2 | Tempo: 196,3196 | Attesa: 29,43773 | Distanza: 118,3206
PapillonPattern | insoddisfatto | Visitati: 16 | Non visitati: 3 | Tempo: 384,852 | Attesa: 35,98549 | Distanza: 216,9375
PoissonPattern | soddisfatto | Visitati: 12 | Non visitati: 1 | Tempo: 212,5246 | Attesa: 15,19189 | Distanza: 187,3463
FourmiPattern | soddisfatto | Visitati: 18 | Non visitati: 2 | Tempo: 489,3327 | Attesa: 29,76877 | Distanza: 198,5813
FourmiPattern | soddisfatto | Visitati: 13 | Non visitati: 2 | Tempo: 381,355 | Attesa: 28,86798 | Distanza: 183,0205
FourmiPattern | soddisfatto | Visitati: 16 | Non visitati: 2 | Tempo: 432,2705 | Attesa: 24,80496 | Distanza: 168,3628
PapillonPattern | insoddisfatto | Visitati: 19 | Non visitati: 3 | Tempo: 433,8867 | Attesa: 46,05701 | Distanza: 236,5441
